text,label
"Financial watchdog proposes stricter rules for online trading platforms.",finance
"Dividend funds attract inflows from income-focused investors.",finance
"Crypto funds rebound after regulators clarify custody requirements.",finance
"Retailer launches same-day delivery service in 40 cities.",business
"Automaker recalls vehicles to fix faulty braking components.",business
"Beverage company expands bottling capacity to meet summer demand.",business
"Furniture chain enters new regional market with flagship store.",business
"Apparel brand signs licensing deal with sports league.",business
"Warehouse operator adds night shifts to clear order backlog.",business
"Mining company pauses operations after equipment failure.",business
"Travel agency reports surge in bookings for long-haul vacations.",business
"Electronics distributor opens regional service hub for corporate clients.",business
"Restaurant franchisee buys 75 outlets from parent company.",business
"Chemical manufacturer secures raw material supply through new contract.",business
"Hospitals report decline in emergency room wait times after staffing changes.",health
"Researchers identify genetic marker linked to early diabetes risk.",health
"Public health officials launch vaccination drive before flu season.",health
"New cancer therapy shows improved survival rates in late-stage trial.",health
"Doctors warn heat exposure is increasing cases of dehydration.",health
"Medical device maker receives approval for portable heart monitor.",health
"Health ministry expands screening program for cervical cancer.",health
"Researchers find air pollution associated with higher asthma admissions.",health
"Mental health clinics add weekend appointments to meet rising demand.",health
"Pediatricians recommend updated nutrition guidance for schoolchildren.",health
"Hospital network adopts infection-control protocol after audit findings.",health
"Scientists test antiviral drug against newly detected respiratory strain.",health
"Rural clinics receive funding to upgrade maternal care facilities.",health
"Study links regular exercise to lower risk of cognitive decline.",health
"Pharmacists report shortage of common antibiotic in several regions.",health
"Surgical team performs first robotic kidney transplant at city hospital.",health
"Health agency recalls contaminated eye drops from retail pharmacies.",health
"Researchers develop blood test for earlier detection of liver disease.",health
"Nurses union calls for safer staffing ratios in intensive care units.",health
"Telehealth provider adds specialist consultations for chronic pain patients.",health
"Medical researchers begin trial of personalized vaccine for melanoma.",health
"Dentists warn sugary drinks are driving tooth decay in teenagers.",health
"Public hospitals expand dialysis capacity for kidney disease patients.",health
"Study finds sleep disruption raises risk of hypertension.",health
"Emergency responders train for faster stroke diagnosis in ambulances.",health
"Drugmaker submits application for new migraine prevention therapy.",health
"Community clinics offer free blood pressure checks during awareness week.",health
"Researchers compare two treatments for antibiotic-resistant infections.",health
"Health insurers add coverage for remote patient monitoring devices.",health
"Nutrition study finds high-fiber diets improve gut health markers.",health
"Medical board investigates clinic over unsafe cosmetic procedures.",health
"Scientists report progress on universal flu vaccine candidate.",health
"Hospice providers expand home-care services for terminally ill patients.",health
"Health officials monitor measles exposure after airport case.",health
"Cardiologists urge earlier cholesterol screening for young adults.",health
"New maternity ward opens with neonatal intensive care unit.",health
"Researchers test wearable sensor for detecting irregular heart rhythms.",health
"Cancer center shortens radiation therapy schedule for selected patients.",health
"Primary care doctors report rise in stress-related sleep complaints.",health
"Public health campaign promotes handwashing to reduce stomach infections.",health
"Medical school launches program to train more rural family physicians.",health
"Clinical trial shows arthritis drug reduces joint inflammation.",health
"Hospitals prepare for seasonal surge in respiratory illness.",health
"Researchers study long-term symptoms after viral infection.",health
"Health department expands mosquito control after dengue cases rise.",health
"Paramedics use new protocol to improve cardiac arrest survival.",health
"Pharmacy chain offers walk-in vaccinations at more locations.",health
"Scientists map immune response to experimental tuberculosis vaccine.",health
"Rehabilitation center introduces therapy program for stroke recovery.",health
"Pediatric hospital opens unit for children with rare diseases.",health
"Doctors report improved outcomes from early sepsis detection system.",health
"Public health researchers track obesity trends among adolescents.",health
"Medical device firm recalls insulin pumps over dosage error risk.",health
"Blood bank asks donors to address shortage of type O blood.",health
"Researchers find prenatal care access reduces birth complications.",health
"Hospital pharmacists update guidelines for safer pain medication use.",health
"New study evaluates hearing loss risk among factory workers.",health
"Health agency issues warning about counterfeit weight-loss pills.",health
"Clinics expand counseling services for postpartum depression.",health
"Scientists develop rapid test for foodborne bacterial infection.",health
"Eye specialists urge regular exams for patients with diabetes.",health
"Trauma center adds helicopter service for remote accident response.",health
"Researchers investigate link between wildfire smoke and heart attacks.",health
"Medical journal publishes review of treatments for chronic kidney disease.",health
"Community health workers visit homes to improve medication adherence.",health
"Hospital laboratory installs faster diagnostic equipment for blood cultures.",health
"Doctors recommend updated booster shots for older adults.",health
"Public health team studies vaccine hesitancy in urban neighborhoods.",health
"Orthopedic surgeons test new implant for knee replacement patients.",health
"Researchers report promising results from gene therapy for blindness.",health
